Comment,Designator,Footprint,JLCPCB Part #
22uF,C301,805,C45783
100nF,C302,805,C49678
100nF,C303,805,C49678
100nF,C304,805,C49678
100nF,C305,805,C49678
10uF,C401,805,C15850
10uF,C402,805,C15850
100nF,C403,805,C49678
8.2nF,C404,603,C27920
1nF,C405,805,C46653
47uF,C406,805,C1779
10pf,C407,805,C1785
47uF,C408,805,C1779
KT-0603R,D101,LED_0603,C2286
SS34,D102,DO-214AC,C8678
KT-0603R,D201,LED_0603,C2286
SS34,D301,DO-214AC,C8678
SS34,D401,DO-214AC,C8678
SS34,D402,DO-214AC,C8678
TPS63020DSJR,IC301,SamacSys_Parts:TPS63020DSJR,C15483
RJ45_LED_Shielded,J501,Connector_RJ:RJ45_Amphenol_RJHSE538X,C464588
RJ45_LED_Shielded,J502,Connector_RJ:RJ45_Amphenol_RJHSE538X,C464588
SPM4012T-1R0M-LR,L301,SPM4010-4020,C434842
RLF12560T-7R8N8R2,L401,SamacSys_Parts:INDPM128125X600N,C182293
680,R101,805,C17798
330,R201,805,C17634
10k,R201,805,C17414
1.27M,R301,603,C166902
130k,R302,805,C22795
56.2k,R401,805,C17751
10.2k,R403,805,C17402
1.78k,R404,805,C17397
680,R501,805,C17798
680,R502,805,C17798
TPS54331DR,IC401,SOIC127P600X175-8N,C9865
