Value,Designator,Footprint,JLPCB Part#
0.1u,C1,Capacitor_SMD:C_0201_0603Metric,C1525
0.1u,C2,Capacitor_SMD:C_0201_0603Metric,C1525
1N4148W,D1,Diode_SMD:D_SOD-123,C81598
LED,D101,digikey-footprints:LED_0603,C72038
LED,D102,digikey-footprints:LED_0603,C72038
SMAJ6.5A,D103,SamacSys_Parts:DIOM5026X229N,C283910
SMAJ6.5A,D104,SamacSys_Parts:DIOM5026X229N,C283910
SMAJ6.5A,D105,SamacSys_Parts:DIOM5026X229N,C283910
MF-MSMF010-2,F101,SamacSys_Parts:FUSC4632X110N,C12430
MF-MSMF010-2,F102,SamacSys_Parts:FUSC4632X110N,C12430
"74HC04D,653",IC101,SamacSys_Parts:SOIC127P600X175-14N,C5590
SP485EEN-L_TR,IC102,SamacSys_Parts:SOIC127P600X175-8N,C6855
4.7k,R1,Resistor_SMD:R_0402_1005Metric,C25900
4.7k,R2,Resistor_SMD:R_0402_1005Metric,C25900
4.7k,R3,Resistor_SMD:R_0402_1005Metric,C25900
4.7k,R4,Resistor_SMD:R_0402_1005Metric,C25901
56k,R5,Resistor_SMD:R_0402_1005Metric,C25796
2.4k,R7,Resistor_SMD:R_0402_1005Metric,C25882
2.4k,R8,Resistor_SMD:R_0402_1005Metric,C25882
120,R9,Resistor_SMD:R_0402_1005Metric,C25079
